AADT,Latitude,Longitude,yn,Divided,LaneCount,DGAC,Latex,SMA,PCCP,Age,Friction,Macro,IRI,Gradient,Curvature,LatitudeGPS,LongitudeGps,Crash,lnAADT
155000,37.56538954,-77.45405095,0,1,3,1,0,0,0,4,49.17565579,0.8825,1.31525,0.88875,0.00035625,37.56547567,-77.45417958,21,11.9511804
34000,37.59047651,-77.50410766,1,1,3,1,0,0,0,4,44.25169546,0.815625,2.491375,2.775625,0.0002125,37.59048594,-77.50416542,16,10.4341158
63000,37.50452732,-77.57784596,1,1,3,1,0,0,0,3,38.72023353,0.65,2.463888889,-1.33,0.0008,37.50438923,-77.57775097,14,11.05089001
11000,37.53656437,-77.42666597,1,0,2,0,0,0,1,8,38.30457454,0.71625,6.745625,-2.001875,0.00031875,37.53643403,-77.42656729,26,9.305650552
27000,37.50723842,-77.49435595,1,1,2,1,0,0,0,3,37.18549264,0.70625,1.599625,-0.323125,0.0012,37.50725139,-77.49431529,16,10.20359214
52000,37.50653831,-77.59932958,1,1,2,0,1,0,0,6,35.87456814,0.553125,1.7719375,1.025,0.00033125,37.50659761,-77.599276,13,10.858999
22000,37.25760594,-77.41115745,1,0,4,1,0,0,0,18,44.34761676,0.749411765,3.191529412,-1.165882353,0.000311765,37.25775812,-77.41125351,18,9.998797732
155000,37.57207718,-77.45598514,1,1,3,1,0,0,0,4,47.43308541,0.915625,1.755,0.90625,0.0003,37.57200972,-77.4560866,16,11.9511804
28000,37.54382628,-77.44887787,1,1,3,1,0,0,0,11,46.58578055,0.700625,4.916625,1.823125,0.000375,37.54382393,-77.44889913,20,10.23995979
1700,37.59761822,-77.49404936,1,1,3,0,0,1,0,8,43.64419386,0.807647059,1.634294118,-0.107647059,0.000241176,37.59773563,-77.4941515,23,7.43838353
63000,37.49918754,-77.57001502,1,1,2,0,1,0,0,6,38.8481286,0.58375,1.95925,1.57875,0.00059375,37.49922053,-77.57002616,13,11.05089001
155000,37.57405505,-77.46063634,0,1,3,1,0,0,0,4,48.82394434,0.788125,1.377625,-0.4625,0.00036875,37.57423775,-77.46076916,22,11.9511804
11000,37.545235,-77.44121114,1,1,3,1,0,0,0,6,44.53945937,0.937692308,4.440153846,-0.036153846,0.001038462,37.54519195,-77.44133349,20,9.305650552
36000,37.6534106,-77.62175688,1,1,3,1,0,0,0,4,42.30129559,0.786875,2.126,0.78125,0.0010375,37.6534276,-77.62163008,16,10.49127422
34000,37.50622212,-77.66349037,1,1,2,1,0,0,0,5,39.61549904,0.505833333,2.67625,-0.14,0.000766667,37.50605887,-77.66357441,15,10.4341158
40000,37.63451406,-77.5456702,1,1,2,1,0,0,0,3,43.03669226,0.4675,2.413166667,-1.366666667,0.0005,37.63465044,-77.54570734,16,10.59663473
15000,37.51783605,-77.34395398,1,1,2,0,1,0,0,3,46.36196417,0.475,4.384083333,0.324166667,0.00095,37.51773924,-77.34393198,15,9.61580548
24000,37.36913336,-77.41750691,1,0,4,1,0,0,0,4,42.20537428,0.516875,1.181125,-1.37625,0.00033125,37.36911933,-77.41759149,15,10.08580911
40000,37.63906126,-77.55612501,1,1,3,1,0,0,0,3,43.58024632,0.747272727,1.756545455,-1.015454545,0.000309091,37.63905279,-77.55608038,15,10.59663473
27000,37.50296067,-77.51804958,1,0,3,1,0,0,0,8,32.48534869,0.858571429,3.879714286,0.747142857,0.000421429,37.50288948,-77.517993,13,10.20359214
52000,37.49713235,-77.54795535,1,1,3,1,0,0,0,7,32.93298145,0.660588235,1.801117647,1.440588235,0.000252941,37.49701269,-77.54801213,13,10.858999
52000,37.50593789,-77.60472159,0,1,2,0,1,0,0,6,38.40049584,0.616875,1.630375,1.0275,0.00021875,37.50604484,-77.60471111,14,10.858999
121000,37.59802489,-77.49347044,0,1,3,0,0,1,0,8,32.3734405,1.048235294,1.393176471,0.008235294,0.000111765,37.59789325,-77.49348047,26,11.70354582
13000,37.541514,-77.43510127,1,1,2,1,0,0,0,8,46.2340691,0.573,4.2328,1.332,0.00033,37.54163526,-77.43521586,21,9.472704636
11000,37.53456359,-77.42388655,1,0,2,1,0,0,0,6,28.39270633,0.450625,3.403125,6.4725,0.00030625,37.53467089,-77.42383657,13,9.305650552
145000,37.53748774,-77.42848983,1,1,3,0,0,1,0,6,30.83869962,0.7525,1.045,-1.4475,0.00083125,37.53755463,-77.42851443,38,11.88448902
17000,37.54609965,-77.44232323,1,1,3,1,0,0,0,8,33.41258797,0.624285714,5.002142857,0.105714286,0.000985714,37.54602603,-77.44239998,13,9.740968623
11000,37.54157,-77.43559753,1,1,3,1,0,0,0,6,41.53392514,0.673,5.5802,-1.25,0.0004,37.54167654,-77.43548058,17,9.305650552
130000,37.59133047,-77.46882671,0,1,3,0,0,1,0,6,45.85038388,0.94125,1.3135625,1.12375,0.00015,37.59129699,-77.46883653,23,11.77528973
77000,37.65046319,-77.60638796,0,1,3,1,0,0,0,4,50.64644914,0.780625,1.2314375,0.435,0.000225,37.65042154,-77.60637105,24,11.2515607
57000,37.50130441,-77.52680527,1,1,3,1,0,0,0,8,42.33326935,0.865625,2.183,1.3675,0.0002375,37.50128908,-77.52685072,15,10.95080655
57000,37.50004446,-77.53392179,1,1,3,1,0,0,0,8,39.80734165,0.876875,1.728125,0.985625,0.0001375,37.49998946,-77.53394833,14,10.95080655
36000,37.65206172,-77.61642109,1,1,3,1,0,0,0,4,42.52511196,0.8725,1.3224375,1.880625,0.0002875,37.65217888,-77.6164239,14,10.49127422
24000,37.35766476,-77.41442214,1,1,2,1,0,0,0,13,38.20865323,0.948125,1.9278125,1.74875,0.00024375,37.35756432,-77.4143403,13,10.08580911
36000,37.65184235,-77.61457566,1,1,3,1,0,0,0,4,44.63538068,0.766666667,1.542833333,0.435,0.000558333,37.65183087,-77.61466751,15,10.49127422
17000,37.58079501,-77.44640671,1,1,2,1,0,0,0,11,42.5890595,0.52,2.31825,0.85375,0.00024375,37.58072227,-77.44655553,16,9.740968623
63000,37.49813665,-77.56865177,1,1,2,0,1,0,0,6,39.16786628,0.555625,1.949,1.2625,0.0011,37.49823473,-77.56870082,12,11.05089001
155000,37.5723922,-77.45630047,0,1,3,1,0,0,0,4,51.47776711,0.74125,1.514875,-0.898125,0.000275,37.57238665,-77.45638531,21,11.9511804
52000,37.49516576,-77.55800318,1,1,2,1,0,0,0,6,38.51240403,0.542222222,1.414333333,-0.52,0.001488889,37.49507809,-77.55800828,16,10.858999
108000,37.37978941,-77.41101744,1,1,3,0,0,1,0,7,41.10227927,1.0175,1.538625,-0.165625,0.000325,37.37968779,-77.41097844,24,11.58988651
52000,37.49525957,-77.55435594,1,1,2,1,0,0,0,6,38.43246961,0.656875,1.8266875,-0.496875,0.0004375,37.49526838,-77.55437356,13,10.858999
52000,37.50675565,-77.58680027,1,1,2,0,1,0,0,6,41.94958413,0.775,1.6505,-0.841875,0.0002875,37.50694061,-77.58664482,13,10.858999
35000,37.66234932,-77.64686507,1,1,3,0,1,0,0,3,44.31564299,0.811875,2.358125,-4.030625,0.000225,37.66245945,-77.6470312,12,10.46310334
57000,37.49985086,-77.53318495,1,1,3,1,0,0,0,3,39.83931542,0.846875,1.6801875,-0.258125,0.00019375,37.49982895,-77.53327755,12,10.95080655
57000,37.49828042,-77.54291728,0,1,3,1,0,0,0,8,39.32773512,0.88625,2.16025,-0.353125,0.00024375,37.4982012,-77.54273398,15,10.95080655
19000,37.62038731,-77.52472628,1,1,2,1,0,0,0,3,42.71695457,0.801875,3.84475,0.961875,0.001125,37.62034058,-77.52459538,15,9.852194258
57000,37.49852674,-77.54094546,1,1,3,1,0,0,0,8,34.85140755,0.8625,1.9925,-0.974375,0.00025625,37.49858827,-77.54100251,12,10.95080655
11000,37.63601544,-77.5479561,1,1,3,1,0,0,0,3,40.52675144,0.648125,2.2155,-0.401875,0.0003125,37.63579142,-77.54793952,13,9.305650552
27000,37.50778523,-77.49263804,0,1,2,1,0,0,0,3,33.9881158,0.742352941,2.557294118,1.427058824,0.0007,37.50777839,-77.49263457,14,10.20359214
23000,37.57097755,-77.44526121,1,1,3,1,0,0,0,7,43.13261356,0.56875,2.3958125,-0.704375,0.00028125,37.57089091,-77.44510084,15,10.04324949
40000,37.63706243,-77.55120945,1,1,3,1,0,0,0,3,43.64419386,0.695625,2.690375,-1.105625,0.0002125,37.63710361,-77.55122169,13,10.59663473
63000,37.49746451,-77.56827795,1,1,3,1,0,0,0,3,38.08075816,0.842352941,2.082235294,-1.241176471,0.001258824,37.49757554,-77.56829565,13,11.05089001
45000,37.50214753,-77.52079749,1,0,3,1,0,0,0,3,43.96393154,0.863333333,2.190916667,-1.733333333,0.000483333,37.50207944,-77.52086142,15,10.71441777
35000,37.52291077,-77.45173927,1,1,3,1,0,0,0,7,43.1965611,0.80875,2.7624375,1.04375,0.0012625,37.52280747,-77.45159172,18,10.46310334
24000,37.51907622,-77.44906197,1,1,3,1,0,0,0,7,41.91761036,0.7875,3.22125,-1.565625,0.000225,37.51889411,-77.44916354,14,10.08580911
35000,37.5504451,-77.44612616,1,1,3,1,0,0,0,7,42.20537428,0.72625,3.35775,3.024375,0.000225,37.55049788,-77.44602007,14,10.46310334
31000,37.6537422,-77.62207895,1,1,3,1,0,0,0,4,50.00697377,0.88125,1.7740625,-0.12125,0.0012625,37.65390531,-77.62208466,17,10.34174248
4700,37.65586273,-77.45042967,1,1,3,0,0,1,0,3,45.65854127,0.91,1.274941176,-0.568823529,0.000152941,37.65570077,-77.45058066,17,8.455317788
13000,37.64791041,-77.59312905,1,1,3,0,0,1,0,13,42.94077095,0.81875,1.338125,0.799375,0.0003,37.64788384,-77.59326168,35,9.472704636
